run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
263,supersonic_cruise,6,2,65000.0,-15000.0,0.0,1099.347319628195,14.228428514384838,120.0,68298.04195888479,-14957.314714456807,259.7611575195571,1099.347319628195,14.228428514384838,64.09553699217709,HIT,0.0017111617243808963,240.66580477651834,329575.30748193816,-11575.703798760434,3668.12172540524
264,high_ballistic,7,2,90000.0,20000.0,0.0,2758.8488132177913,-46.3999270999459,1570.4418407665378,97993.59826477157,19865.55900599742,4833.946591052776,2664.532754923898,-44.81366466750523,1596.600530350922,HIT,0.00036836767930682724,159.27373025083128,514390.0712332339,12862.360459889518,134553.31678500952
265,quasi_ballistic,6,2,65000.0,-15000.0,0.0,1667.0200112186303,-26.768653666788158,904.6020839914884,70001.06003365571,-15080.305961000413,2723.661251974467,1667.0200112186303,-26.768653666788158,911.1720839914899,HIT,0.05679039829366406,201.48906745707762,397005.84316219465,-53445.38113072749,29719.267630498318
266,supersonic_cruise,7,2,90000.0,20000.0,0.0,981.0208596532877,23.27794302552859,120.0,92943.06257896009,20069.833829076597,259.7611575195571,981.0208596532877,23.27794302552859,64.09553699217709,HIT,0.0034340877137599233,233.53164937672355,319099.41928714945,25436.136433798907,3562.2173811440925
267,high_ballistic,1,0,30000.0,-35000.0,0.0,2683.1520773898387,-113.50913233214719,1591.5372695407598,38087.417692130985,-35342.13333369262,4708.055299546807,2695.8058973769726,-114.04444456417839,1554.636766515599,HIT,0.0035915073567695213,174.8445844019237,501347.06158965046,-54940.05354258411,127016.57324676406
268,quasi_ballistic,5,0,80000.0,-65000.0,0.0,1563.792081765865,-22.51357198860058,905.3906646093074,84691.37624529802,-65067.54071596559,2726.0269938279243,1563.792081765865,-22.51357198860058,911.9606646093089,HIT,0.05250538414612438,198.4923030926733,388591.0470645309,-88950.58691917511,22166.658337998495
269,supersonic_cruise,6,2,65000.0,-15000.0,0.0,1084.9184659251935,-42.178671824501535,120.0,68254.75539777544,-15126.536015473539,259.7611575195571,1084.9184659251935,-42.178671824501535,64.09553699217709,HIT,0.008342339301546755,230.48782424734807,315060.4963244353,-24721.670316668435,4436.939191053201
270,high_ballistic,6,2,65000.0,-15000.0,0.0,2864.4082287839055,20.85446162173648,1578.3036163619615,74081.34868427354,-14933.882804934437,4436.263605662358,3027.1162280911512,22.039065021840198,1464.0395352207822,HIT,0.01344886757505619,160.4588547583929,550727.6020496258,-11463.636292224566,113351.16706126797
271,quasi_ballistic,3,2,45000.0,45000.0,0.0,1630.6741279244009,-152.5196303312066,901.8608463953262,49892.02238377329,44542.44110900632,2715.437539185981,1630.6741279244009,-152.5196303312066,908.4308463953276,HIT,0.0019427531220327127,223.1159506362002,406493.2746151878,10341.619864665543,41000.8144748034
272,supersonic_cruise,8,3,70000.0,60000.0,0.0,895.33936367878,-91.85714518412841,120.0,72686.01809103595,59724.428564447444,259.7611575195571,895.33936367878,-91.85714518412841,64.09553699217709,HIT,0.0027737317094602408,249.1214207519171,293048.2144359022,37116.41748711335,3033.388800884718
